,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
168,USOI,5.8449997902,5.8499999046,5.8499999046,5.7899999619,2292600,1.1935020296,1.1554414704,0.96
169,VST,25.7700004578,25.4400005341,25.8799991608,25.4300003052,3853500,1.1450277677,1.1456073868,0.96
170,AZO,2066.1699218750,2064.4599609375,2084.7900390625,2050.7099609375,112900,1.1474955286,1.1474955286,0.96
171,BANF,91.4100036621,90.5599975586,93.6500015259,89.9499969482,159100,1.1821585944,1.1444597753,0.96
172,EXLS,145.0200042725,145.1199951172,146.4299926758,143.9900054932,164900,1.1772718332,1.1397288520,0.96
173,GO,36.9099998474,38.6500015259,38.9049987793,36.9020004272,968100,1.1793928191,1.1417822000,0.96
174,PRT,10.1499996185,10.1199998856,10.4099998474,10.0299997330,51400,1.1581418522,1.1587281098,0.96
175,NSEC,16.3199996948,16.3199996948,16.3199996948,16.3199996948,100,1.1962177429,1.1580705801,0.96
176,OLN,62.6399993896,61.0099983215,62.6399993896,60.8499984741,2008400,1.1488079503,1.1493894830,0.96
177,PEO,23.9300003052,23.5900001526,24.0400009155,23.2900009155,109400,1.1513779869,1.1519608205,0.96
178,PSCE,11.7600002289,11.6499996185,11.9300003052,11.3800001144,881800,1.2009714892,1.1626727303,0.96
179,PSX,106.9100036621,106.3099975586,107.7699966431,104.8399963379,3015000,1.1543339445,1.1549182745,0.96
180,SHEL,57.9399986267,57.9799995422,58.2400016785,57.4700012207,6220172,1.1482497948,1.1488735982,0.96
181,SWIR,22.6499996185,22.9500007629,23.1299991608,22.1900005341,425200,1.1850138462,1.1472239736,0.96
182,TPL,1661.8699951172,1712.9200439453,1735.8399658203,1659.2399902344,31700,1.1398379641,1.1404149562,0.96
183,TTP,30.6900005341,30.7199993134,31.2900009155,30.0699996948,19200,1.1251342032,1.1257037521,0.95
184,VIVO,27.1000003815,27.3899993896,27.9300003052,26.7800006866,277300,1.1577357216,1.1208157434,0.95
185,LTHM,27.2500000000,27.0300006866,28.2099990845,27.0100002289,2374300,1.1243139676,1.1248831014,0.95
186,NE,34.4599990845,34.3499984741,35.3199996948,33.5299987793,755100,1.1285479300,1.1291192070,0.95
187,NFG,72.4400024414,72.6500015259,73.5199966431,72.1999969482,335800,1.1216607474,1.1222285380,0.95
188,MAYS,40.5999984741,41.5000000000,41.5000000000,40.5999984741,700,1.1756505117,1.1381592341,0.95
189,KDNY,17.3099994659,17.2500000000,17.8099994659,16.9300003052,405500,1.1550800986,1.1182448077,0.95
190,OFS,12.5000000000,12.4399995804,12.6999998093,12.3000001907,78800,1.1713654567,1.1340108287,0.95
191,PSB,187.2899932861,187.2899932861,187.6600036621,187.1399993896,284100,1.1185090086,1.1190752038,0.95
192,SMM,8.7100000381,8.6099996567,8.7100000381,8.5000000000,53300,1.1338683651,1.1344423353,0.95
193,UNM,34.8899993896,35.1500015259,35.6199989319,34.6899986267,2306300,1.1355574078,1.1361322330,0.95
194,SMCI,49.5900001526,48.7500000000,49.5999984741,48.0200004578,427900,1.1707806877,1.1334447079,0.95
195,USAC,19.4799995422,19.7500000000,19.8400001526,19.2500000000,142400,1.1368107071,1.1373861667,0.95
196,CRC,47.7200012207,47.0400009155,48.5779991150,46.3600006104,565100,1.1293205050,1.1298921730,0.95
197,SQQQ,53.9700012207,56.5200004578,56.6800003052,53.3600006104,138626700,1.1702853766,1.1329651922,0.95
198,CSL,259.3200073242,256.8699951172,260.4599914551,256.2500000000,242500,1.1285554312,1.1291267120,0.95
199,TTE,57.6899986267,57.7200012207,58.0900001526,57.2799987793,3528400,1.1173492401,1.1179148482,0.95
200,SENEB,60.2099990845,60.5499992371,60.5499992371,60.2099990845,800,1.1566890855,1.1198024843,0.95
201,SPLP,41.9799995422,42.2299995422,43.0000000000,41.9799995422,3200,1.1336469378,1.1342207959,0.95
202,DCP,37.1300010681,36.0000000000,37.7000007629,35.9099998474,471000,1.1169704559,1.1175358723,0.95
203,WES,28.0000000000,27.3999996185,28.2000007629,26.6499996185,1426000,1.1230622026,1.1236307027,0.95
204,AMAL,20.6900005341,20.4699993134,21.0100002289,20.3400001526,37400,1.1623953398,1.1253267672,0.95
205,EMO,30.3500003815,29.4300003052,30.3500003815,29.1399993896,52400,1.1187103929,1.1192766901,0.95
206,SLB,47.1699981689,47.2099990845,47.8800010681,46.5200004578,11294000,1.1324971397,1.1324971397,0.95
207,ALCO,42.2500000000,41.4000015259,42.5099983215,41.4000015259,54200,1.1759599481,1.1384588026,0.95
208,GNE,8.3999996185,7.8099999428,8.6700000763,7.6799998283,73000,1.1324860114,1.1330592818,0.95
209,PBA,40.6500015259,40.3600006104,40.9000015259,39.9500007629,1024600,1.1214930851,1.1220607909,0.95
210,CYXT,13.7100000381,13.5000000000,14.0900001526,13.3500003815,259700,1.1583756899,1.1214353032,0.95
211,FTGC,29.8899993896,29.8799991608,29.9699993134,29.7399997711,1135600,1.1457469905,1.1092093307,0.94
212,CEM,36.3100013733,35.5299987793,36.3800010681,35.3100013733,62700,1.1065548436,1.1071149876,0.94
213,CPE,61.9300003052,59.9300003052,63.3699989319,58.2700004578,1909700,1.1154139121,1.1159785406,0.94
214,CPLP,16.3500003815,16.3199996948,16.5699996948,16.0699996948,88000,1.1420961205,1.1056748862,0.94
215,SFL,10.8100004196,10.8199996948,10.8900003433,10.6300001144,980500,1.1123434957,1.1129065699,0.94
216,SENEA,59.6300010681,58.2000007629,61.8300018311,58.0099983215,45700,1.1431970163,1.1067406747,0.94
217,RGP,18.8500003815,18.4699993134,18.9200000763,18.3799991608,85300,1.1503191160,1.1136356520,0.94
218,EURN,12.1599998474,12.4399995804,12.6029996872,12.0749998093,1680600,1.1131876446,1.1137511461,0.94
219,NTG,38.3600006104,37.5999984741,38.3600006104,37.0600013733,37200,1.1090228942,1.1095842875,0.94
220,NRGX,15.6199998856,15.5200004578,15.7700004578,15.2899999619,98300,1.1118108878,1.1123736924,0.94
221,NGS,14.0699996948,14.0900001526,14.3900003433,13.8800001144,37300,1.1081168529,1.1086777876,0.94
222,MTOR,36.0800018311,36.1199989319,36.1399993896,36.0600013733,944400,1.1106805343,1.1112427667,0.94
223,KNSL,221.6399993896,223.2599945068,225.6399993896,221.2400054932,67300,1.1153245153,1.1158890985,0.94
224,PBFX,16.7099990845,16.3099994659,16.7500000000,16.1299991608,95100,1.1151320448,1.1156965306,0.94
225,PFIE,1.4400000572,1.4299999475,1.5190000534,1.4210000038,72400,1.1441615864,1.1076744849,0.94
226,HESM,33.3699989319,33.0200004578,33.8349990845,32.7099990845,709200,1.1038439992,1.1044027709,0.94
227,PTR,54.6899986267,53.9199981689,54.6899986267,53.4700012207,102200,1.1097047608,1.1102664993,0.94
